Time;SpeedKmHr;Wind;Wind_Speed;Engine1_engine_speed;Engine1_lube_oil_pressure;Engine1_coolant_temperature;Engine1_boost_pressure;Engine1_engine_load;Engine1_exhaust_temperature1;Engine1_exhaust_temperature2;Engine1_fuel_consumption;Engine1_lube_oil_temperature;Engine2_engine_speed;Engine2_lube_oil_pressure;Engine2_coolant_temperature;Engine2_boost_pressure;Engine2_engine_load;Engine2_exhaust_temperature1;Engine2_exhaust_temperature2;Engine2_fuel_consumption;Engine2_lube_oil_temperature;Engine3_engine_speed;Engine3_lube_oil_pressure;Engine3_coolant_temperature;Engine3_boost_pressure;Engine3_engine_load;Engine3_exhaust_temperature1;Engine3_exhaust_temperature2;Engine3_fuel_consumption;Engine3_lube_oil_temperature;Maneuver_Transit_mode;Maneuver_Transit_state;Engine_state;State;Clock
08/03/2023 15:15:01;0.02;0.314268619355578;1.15;837.0;2.08;17.2;0.0839999999999999;19.78333333333333;25.32;21.78;10.54;17.240000000000002;1805.6;4.7;80.0;0.268;34.85;200.16;193.92;14.72;87.6;1805.6;5.2;51.4;0.296;27.42;164.21999999999997;146.84;14.88;42.48;5.0;30;7;37;0.0
08/03/2023 15:15:11;0.04;-0.004246955079625;1.98;1812.0;5.180000000000001;34.0;0.2319999999999999;27.52;84.48333333333333;71.34;15.28;27.12;1807.6;4.7;80.0;0.248;22.24;194.41666666666663;190.86;11.42;87.5;1807.4;5.2;52.0;0.264;21.78333333333333;169.44;154.07999999999998;13.2;44.9;5.0;30;7;37;10.0
08/03/2023 15:15:21;0.0;-0.4966962705787798;0.6666666666666666;1808.2;5.2;35.0;0.26;24.525;116.8;103.31999999999998;14.54;27.14;1808.4;4.7;80.0;0.252;29.450000000000003;189.35;184.96;13.279999999999998;87.5;1808.2;5.2;53.0;0.28;21.275;168.88000000000002;154.84;13.419999999999998;47.02;5.0;30;7;37;20.0
08/03/2023 15:15:31;0.01;0.9272710043732776;1.1666666666666663;1807.8;5.24;36.0;0.272;28.350000000000005;133.88333333333333;119.16;15.5;29.8;1808.8;4.7;80.0;0.24;20.71666666666667;186.1833333333333;182.72;11.38;87.4;1808.0;5.2;53.6;0.292;23.96666666666667;170.6;157.86;13.66;48.88;5.0;30;7;37;30.0
08/03/2023 15:15:41;0.01;0.7241317397732133;1.8333333333333333;1807.8;5.24;37.0;0.276;28.8;147.86;131.18;16.520000000000003;32.17999999999999;1809.4;4.7;80.0;0.224;7.840000000000001;180.175;175.8;10.82;87.38000000000001;1807.25;5.2;54.4;0.304;26.18;175.94;163.1;14.18;50.46;5.0;30;7;37;40.0
08/03/2023 15:15:51;0.02;0.7347764918593774;1.9166666666666667;1808.0;5.28;38.0;0.28;28.8;155.975;139.88;16.340000000000003;34.44;1809.2;4.7;79.0;0.212;18.3;175.3;169.32;11.26;87.2;1807.4;5.2;55.2;0.312;23.56;180.32;167.34;13.86;52.17999999999999;5.0;30;7;37;50.0
08/03/2023 15:16:01;0.05;0.8176007249416705;2.375;1807.4;5.28;39.2;0.276;27.800000000000004;161.3;146.46;15.98;36.260000000000005;1809.6;4.7;79.0;0.215;8.15;171.62;165.21999999999997;10.54;87.06;1807.4;5.2;56.0;0.31;26.175;183.48;170.42000000000002;14.04;53.66;5.0;30;7;37;60.0
08/03/2023 15:16:11;0.02;0.6450354485722813;1.92;1808.0;5.275;40.25;0.28;28.8;166.92;150.84;16.0;37.92;1809.4;4.7;79.0;0.22;15.68;169.06;162.54;11.04;86.96;1808.0;5.15;57.0;0.304;22.26;184.46;172.34;13.54;55.02;5.0;30;7;37;70.0
08/03/2023 15:16:21;0.02;0.7676053237239674;2.04;1807.8;5.233333333333333;41.333333333333336;0.28;27.48;170.5;154.1;15.8;39.52;1809.8;4.7;79.0;0.212;13.080000000000002;167.125;160.875;10.68;86.9;1808.0;5.1000000000000005;57.833333333333336;0.308;22.24;183.86;173.0;14.175;56.34;5.0;30;7;37;80.0
08/03/2023 15:16:31;0.0;0.066622194773349;2.46;1808.0;5.2;42.25;0.284;27.48;173.66000000000005;156.68;15.68;40.82000000000001;1810.0;4.7;79.0;0.2239999999999999;13.060000000000002;165.72000000000003;159.54000000000002;10.38;86.72;1808.0;5.1;58.75;0.304;22.24;184.6;173.95999999999998;13.72;57.44;5.0;30;7;37;90.0
