Time;SpeedKmHr;Wind;Wind_Speed;Engine1_engine_speed;Engine1_lube_oil_pressure;Engine1_coolant_temperature;Engine1_boost_pressure;Engine1_engine_load;Engine1_exhaust_temperature1;Engine1_exhaust_temperature2;Engine1_fuel_consumption;Engine1_lube_oil_temperature;Engine2_engine_speed;Engine2_lube_oil_pressure;Engine2_coolant_temperature;Engine2_boost_pressure;Engine2_engine_load;Engine2_exhaust_temperature1;Engine2_exhaust_temperature2;Engine2_fuel_consumption;Engine2_lube_oil_temperature;Engine3_engine_speed;Engine3_lube_oil_pressure;Engine3_coolant_temperature;Engine3_boost_pressure;Engine3_engine_load;Engine3_exhaust_temperature1;Engine3_exhaust_temperature2;Engine3_fuel_consumption;Engine3_lube_oil_temperature;Maneuver_Transit_mode;Maneuver_Transit_state;Engine_state;State;Clock
28/02/2023 10:58:22;20.300000000000004;-0.9716372362331512;2.76;1785.6;4.4;86.0;1.22;340.775;433.725;427.5;83.78;97.2;0.0;0.0;0.0;0.0;0.0;27.875;28.9;0.0;0.0;1785.8;4.3;84.0;1.235;335.95000000000005;450.725;441.475;83.85000000000001;98.8;1.0;10;5;15;0.0
28/02/2023 10:58:32;20.24;0.3260356829788847;2.425;1785.4;4.4;86.0;1.2066666666666666;337.16;433.58;427.2;84.28;97.2;0.0;0.0;0.0;0.0;0.0;27.840000000000003;28.820000000000004;0.0;0.0;1785.0;4.3;84.0;1.224;337.23999999999995;450.66;441.38;84.00000000000001;98.8;1.0;10;5;15;10.0
28/02/2023 10:58:42;20.22;-0.7483193062332544;2.44;1785.4;4.4;86.0;1.225;339.1333333333333;433.65;427.6000000000001;84.66666666666667;97.2;0.0;0.0;0.0;0.0;0.0;27.8;28.81666666666668;0.0;0.0;1785.2;4.3;84.0;1.236;337.05;451.31666666666666;441.6833333333334;84.35000000000001;98.8;1.0;10;5;15;20.0
28/02/2023 10:58:52;20.2;-0.9495988723614168;2.375;1785.8333333333333;4.4;86.0;1.188;333.46000000000004;433.66;427.42;82.98;97.2;0.0;0.0;0.0;0.0;0.0;27.8;28.8;0.0;0.0;1786.4;4.3;84.0;1.216;333.4;450.68;441.48;82.91999999999999;98.8;1.0;10;5;15;30.0
28/02/2023 10:59:02;20.2;-0.9876610225871372;2.7;1785.8;4.4;86.0;1.2166666666666666;337.14;433.58;427.34;84.24000000000001;97.2;0.0;0.0;0.0;0.0;0.0;27.76;28.8;0.0;0.0;1785.2;4.3;84.0;1.2266666666666668;340.98;450.52;441.5;84.84;98.8;1.0;10;5;15;40.0
28/02/2023 10:59:12;20.2;0.912907126605097;2.56;1785.6;4.4;86.0;1.208;337.05;433.4833333333333;427.36666666666673;83.47999999999999;97.2;0.0;0.0;0.0;0.0;0.0;27.73333333333333;28.78;0.0;0.0;1785.6;4.3;84.0;1.2280000000000002;337.05;450.6833333333333;441.92;83.9;98.8;1.0;10;5;15;50.0
28/02/2023 10:59:22;20.23;0.36500678069652;2.64;1786.4;4.4;86.0;1.21;337.475;433.525;427.0750000000001;83.34;97.2;0.0;0.0;0.0;0.0;0.0;27.7;28.7;0.0;0.0;1785.8;4.3;84.0;1.215;334.3;450.225;441.92;83.55999999999999;98.8;1.0;10;5;15;60.0
28/02/2023 10:59:32;20.29;0.4001624328795621;2.55;1786.0;4.4;86.0;1.188;334.7;433.18;426.4;82.94;97.2;0.0;0.0;0.0;0.0;0.0;27.7;28.7;0.0;0.0;1786.0;4.3;84.0;1.208;333.46000000000004;449.78;441.4599999999999;83.08;98.8;1.0;10;5;15;70.0
28/02/2023 10:59:42;20.2;0.3942627243429507;2.5;1785.8333333333333;4.4;85.6;1.212;337.2;433.2600000000001;426.2;83.44;97.2;0.0;0.0;0.0;0.0;0.0;27.62;28.7;0.0;0.0;1785.0;4.3;84.0;1.232;333.58000000000004;449.8200000000001;441.3;83.61999999999999;98.8;1.0;10;5;15;80.0
28/02/2023 10:59:52;20.22;0.3410906014911852;2.7;1786.0;4.4;85.0;1.19;334.93333333333334;433.14;426.18;83.32000000000001;97.2;0.0;0.0;0.0;0.0;0.0;27.620000000000005;28.68;0.0;0.0;1786.6;4.3;84.0;1.21;332.85;449.5;441.34;83.2;98.8;1.0;10;5;15;90.0
28/02/2023 11:00:02;20.23;0.5613854727786153;2.46;1785.4;4.4;85.0;1.196;334.32500000000005;432.94;425.88;82.86;97.2;0.0;0.0;0.0;0.0;0.0;27.6;28.62;0.0;0.0;1786.0;4.3;84.0;1.215;334.475;449.22;441.18;82.83999999999999;98.8;1.0;10;5;15;100.0
28/02/2023 11:00:12;20.2;0.6631209833702837;2.3;1785.2;4.4;85.0;1.2;334.90000000000003;432.76666666666665;426.0833333333333;83.03999999999999;97.2;0.0;0.0;0.0;0.0;0.0;27.6;28.6;0.0;0.0;1785.6;4.3;84.0;1.22;332.8333333333333;449.23333333333335;441.32;83.94;98.8;1.0;10;5;15;110.0
28/02/2023 11:00:22;20.17;0.6603075606519877;2.2;1786.2;4.4;85.0;1.188;334.62;432.44000000000005;426.0;83.2;97.2;0.0;0.0;0.0;0.0;0.0;27.6;28.58333333333333;0.0;0.0;1785.4;4.3;84.0;1.212;337.2;449.06000000000006;441.2;83.06666666666666;98.8;1.0;10;5;15;120.0
